Year;Month;Country;Branch_ID;Sales;Customers;Marketing_Spend
2020;Jun;India;KFC_IN_03;130156;3447;12958
2023;May;India;KFC_IN_04;246454;5823;25180
2019;Oct;Canada;KFC_CA_02;90759;2831;8660
2018;Jun;UK;KFC_UK_01;122980;2821;15782
2018;Mar;Australia;KFC_AU_01;146414;3958;19758
2024;Jun;USA;KFC_US_02;187426;4106;23186
2019;Jun;Canada;KFC_CA_01;124737;2681;20178
2018;Sep;India;KFC_IN_01;164384;5112;21248
2024;Jul;Australia;KFC_AU_02;138767;3406;29775
2022;Nov;USA;KFC_US_01;152980;3411;6307
2018;Jan;India;KFC_IN_02;99689;2807;29514
2018;Feb;USA;KFC_US_03;253011;5612;28531
2023;Nov;UK;KFC_UK_01;270083;5834;13387
2018;Dec;Australia;KFC_AU_01;137762;4085;27467
2018;May;India;KFC_IN_02;157376;4338;18560
2019;Jan;Canada;KFC_CA_02;215027;5050;18077
2024;Jan;India;KFC_IN_04;124253;3825;17153
2022;Dec;Australia;KFC_AU_02;94613;1924;21501
2020;Dec;Canada;KFC_CA_01;91554;1848;10242
2021;Oct;Australia;KFC_AU_02;170997;5822;7981
2024;Apr;UK;KFC_UK_02;72786;1855;26411
2023;Dec;Australia;KFC_AU_01;159363;4232;23939
2019;Sep;UK;KFC_UK_01;69562;1506;15346
2019;Oct;USA;KFC_US_01;108992;2441;18675
2024;Apr;Canada;KFC_CA_01;135503;3097;20914
2023;May;USA;KFC_US_02;130306;4161;17959
2020;Aug;Australia;KFC_AU_02;112885;3093;7723
2023;Feb;Canada;KFC_CA_01;167820;5533;12896
2022;Jun;Australia;KFC_AU_02;139029;2579;25553
2024;Aug;India;KFC_IN_02;98890;2664;5650
2024;Sep;USA;KFC_US_02;66901;1873;12584
2024;Jun;USA;KFC_US_01;146888;3752;19320
2020;Oct;India;KFC_IN_04;189440;4613;9533
2021;Aug;UK;KFC_UK_01;135344;2397;27479
2021;Apr;India;KFC_IN_04;137277;4004;25165
2021;Dec;Canada;KFC_CA_01;118418;2570;23328
2018;Feb;India;KFC_IN_04;155114;5982;5564
2021;Mar;USA;KFC_US_03;146537;5391;11762
2019;Jun;Australia;KFC_AU_02;242596;5531;15825
2024;Mar;Australia;KFC_AU_02;180195;3929;15177
2018;Nov;USA;KFC_US_03;237877;5325;19552
2024;Jun;Australia;KFC_AU_02;162462;4081;19627
2024;May;India;KFC_IN_03;170263;3347;29689
2020;Nov;USA;KFC_US_01;100027;2809;29802
2024;Jan;Canada;KFC_CA_01;123422;2832;7310
2022;Feb;Australia;KFC_AU_01;147513;3464;12417
2020;Sep;UK;KFC_UK_01;236752;4932;29608
2019;Jun;Australia;KFC_AU_02;120638;2379;20720
2021;Sep;USA;KFC_US_03;189928;4048;7768
2022;Oct;India;KFC_IN_04;170239;3835;16839
2023;Apr;Canada;KFC_CA_02;175128;4559;11004
2020;Nov;Canada;KFC_CA_01;114828;2658;19140
2024;Apr;Canada;KFC_CA_02;198215;5292;28871
2023;Dec;Canada;KFC_CA_01;214400;5500;10900
2023;Aug;USA;KFC_US_02;107910;2183;20590
2024;Apr;Canada;KFC_CA_01;215993;4620;8093
2018;Sep;Canada;KFC_CA_02;109920;2977;14656
2021;Jul;UK;KFC_UK_01;164089;3378;25591
2023;Mar;USA;KFC_US_02;155969;4908;18545
2021;Apr;India;KFC_IN_04;126611;3250;29111
2018;Jan;UK;KFC_UK_01;210384;4392;21528
2024;Nov;UK;KFC_UK_01;174558;3431;23594
2021;Jan;Australia;KFC_AU_01;86922;2659;15129
2020;Oct;Australia;KFC_AU_02;78548;1702;10468
2024;Mar;USA;KFC_US_02;137170;3152;20546
2023;Nov;USA;KFC_US_03;94646;2589;27332
2023;Dec;Australia;KFC_AU_02;151307;3267;20627
2024;Oct;Australia;KFC_AU_02;127558;3222;18010
2021;Apr;Australia;KFC_AU_02;83877;1972;28661
2018;Feb;India;KFC_IN_01;193700;4915;16760
2022;Aug;Australia;KFC_AU_02;123377;3544;13513
2023;Dec;Canada;KFC_CA_01;86956;1755;15001
2024;Sep;Canada;KFC_CA_01;231716;5098;22698
2018;Dec;Canada;KFC_CA_01;64778;1533;9590
2021;Jul;Australia;KFC_AU_01;227358;5726;15496
2020;Feb;USA;KFC_US_03;100746;1593;29061
2023;Mar;Australia;KFC_AU_02;151656;4828;26128
2019;Jun;India;KFC_IN_02;226625;4932;14549
2020;May;India;KFC_IN_01;161127;4594;14119
2021;Dec;India;KFC_IN_01;188383;5781;14953
2023;May;UK;KFC_UK_01;239385;5041;22622
2021;Jun;USA;KFC_US_02;69375;1597;11883
2021;Jun;UK;KFC_UK_01;216851;4695;19661
2020;Sep;Canada;KFC_CA_02;90057;3030;5217
2018;Oct;India;KFC_IN_02;94017;3159;11883
2022;Jul;India;KFC_IN_04;76663;1711;11645
2020;Sep;Canada;KFC_CA_02;272199;5961;15876
2024;Oct;India;KFC_IN_02;157919;3997;10030
2021;Jul;India;KFC_IN_01;95885;2017;9154
2021;Jan;Australia;KFC_AU_02;148409;4907;6106
2019;Feb;Canada;KFC_CA_01;87235;2509;16983
2020;Nov;UK;KFC_UK_02;74212;1527;25348
2024;Jul;UK;KFC_UK_01;210818;5799;7853
2022;Oct;India;KFC_IN_02;126690;3177;9141
2018;Sep;UK;KFC_UK_02;152172;2893;27773
2021;Jun;India;KFC_IN_02;133025;2754;25619
2024;Apr;Canada;KFC_CA_02;226182;5870;26602
2022;Aug;India;KFC_IN_04;205417;5311;14221
2018;Feb;Canada;KFC_CA_01;153348;4877;21669
2019;Sep;UK;KFC_UK_02;141723;3231;15714
2020;Nov;India;KFC_IN_03;96454;3264;8326
2023;Apr;UK;KFC_UK_02;162196;3446;7126
2023;Oct;Canada;KFC_CA_02;104073;2427;21555
2018;Jun;USA;KFC_US_02;91870;2500;24370
2019;Jul;USA;KFC_US_01;191901;4273;8162
2020;Feb;USA;KFC_US_02;94634;2220;8054
2022;Aug;Canada;KFC_CA_02;76660;2184;19876
2024;Aug;USA;KFC_US_02;138715;3260;8315
2024;Aug;Australia;KFC_AU_01;169685;4989;15026
2021;Jul;UK;KFC_UK_01;283363;5836;26579
2018;Apr;Australia;KFC_AU_02;148974;4572;20958
2022;Jun;India;KFC_IN_01;156133;3348;25561
2022;Aug;Australia;KFC_AU_02;127320;3387;29097
2022;Jan;UK;KFC_UK_01;116910;2531;18201
2022;Nov;Australia;KFC_AU_01;206756;5555;6776
2022;Jun;USA;KFC_US_02;185918;5424;17774
2018;Dec;UK;KFC_UK_01;196620;4439;23499
2023;Jan;Australia;KFC_AU_01;125618;2835;23558
2018;May;Australia;KFC_AU_01;89133;1592;17493
2022;Feb;Australia;KFC_AU_02;114496;2715;11326
2020;Jan;Australia;KFC_AU_01;198459;5328;27963
2022;Apr;Australia;KFC_AU_02;225806;4792;24542
2022;Mar;UK;KFC_UK_02;280233;5747;21618
2021;Jul;USA;KFC_US_02;115258;2597;24363
2022;Jan;USA;KFC_US_03;180646;4733;14991
2021;Feb;Canada;KFC_CA_01;199204;5628;19108
2023;Dec;USA;KFC_US_03;96167;2464;24711
2024;Apr;India;KFC_IN_03;111223;3526;12495
2018;Oct;Canada;KFC_CA_01;122099;2697;27704
2023;Aug;USA;KFC_US_01;218601;5194;10841
2018;Jun;UK;KFC_UK_02;128949;2617;26886
2024;Mar;USA;KFC_US_03;131109;2576;28069
2022;Sep;India;KFC_IN_03;227520;5378;28534
2023;Dec;USA;KFC_US_01;76965;1587;18246
2019;Feb;Australia;KFC_AU_02;222655;5777;26237
2024;Oct;India;KFC_IN_01;155118;3499;25655
2024;Jul;USA;KFC_US_02;64915;1599;20143
2024;Aug;India;KFC_IN_04;156909;3448;8645
2021;Aug;USA;KFC_US_01;81426;2518;5886
2021;Jan;Canada;KFC_CA_01;67766;1892;12898
2024;Aug;Canada;KFC_CA_01;226495;5631;6886
2019;Jan;Australia;KFC_AU_01;181524;5147;6526
2021;Jun;Canada;KFC_CA_02;168908;3362;17618
2023;Jul;Australia;KFC_AU_02;188688;5034;12498
2023;Feb;Australia;KFC_AU_02;270053;5977;19019
2023;Mar;USA;KFC_US_01;104408;2976;15128
2022;Mar;USA;KFC_US_02;169745;5338;20281
2019;Dec;Australia;KFC_AU_01;73206;2057;15610
2024;May;UK;KFC_UK_02;98833;2744;11025
2022;Feb;UK;KFC_UK_01;127226;2518;29024
2024;Mar;UK;KFC_UK_02;193324;4209;12337
2022;Mar;USA;KFC_US_01;258735;5686;19923
2019;Nov;USA;KFC_US_01;66828;2029;14074
2019;Sep;India;KFC_IN_04;122847;3727;25945
2022;Aug;India;KFC_IN_03;95775;2668;18403
2023;Jun;Australia;KFC_AU_02;64335;1516;17339
2019;Aug;India;KFC_IN_02;102239;2241;23804
2019;Mar;India;KFC_IN_01;149055;4356;27087
2022;Apr;USA;KFC_US_01;110511;2203;20188
2018;Jun;Canada;KFC_CA_01;91546;2397;10048
2018;Jan;USA;KFC_US_02;134866;2663;25683
2018;Dec;USA;KFC_US_03;123270;3867;11127
2020;Feb;India;KFC_IN_04;167234;3955;12989
2024;Nov;Canada;KFC_CA_01;181830;4856;21582
2020;Feb;UK;KFC_UK_01;128577;3876;27801
2020;Feb;USA;KFC_US_02;119890;2349;18883
2020;Jul;India;KFC_IN_04;102895;3022;24323
2023;Jan;Australia;KFC_AU_02;83951;1935;14291
2024;Jun;Canada;KFC_CA_01;199503;4467;16356
2024;Jan;USA;KFC_US_01;117766;2484;8470
2022;Jan;UK;KFC_UK_02;61096;1793;14478
2018;Dec;UK;KFC_UK_02;162541;4524;22297
2023;Mar;Canada;KFC_CA_01;155505;5219;25030
2020;May;Australia;KFC_AU_01;257615;5366;21511
2024;Sep;UK;KFC_UK_02;110889;2094;25035
2022;Jan;Australia;KFC_AU_02;194569;5703;17776
2021;Aug;Canada;KFC_CA_01;146024;3326;22962
2021;Sep;Australia;KFC_AU_01;96940;2609;8234
2020;Apr;USA;KFC_US_02;112855;2335;7780
2022;Jul;Canada;KFC_CA_02;210969;4932;18621
2024;Oct;USA;KFC_US_01;181897;5906;16529
2023;May;Canada;KFC_CA_02;163697;3838;21691
2020;Nov;Australia;KFC_AU_02;196970;5234;19014
2024;Oct;Canada;KFC_CA_02;173885;4531;10769
2018;Apr;UK;KFC_UK_02;158261;3186;14891
2021;May;Australia;KFC_AU_01;198353;4253;19727
2023;Sep;Canada;KFC_CA_02;148866;4082;5996
2020;Jun;UK;KFC_UK_01;174861;5064;12813
2024;Nov;USA;KFC_US_01;99313;2705;28983
2019;Jun;USA;KFC_US_02;82076;2597;9360
2021;May;Canada;KFC_CA_01;84721;2608;9089
2018;Aug;USA;KFC_US_03;113224;2452;20048
2023;Jun;USA;KFC_US_01;252628;5926;21514
2018;Jun;India;KFC_IN_04;171833;3395;22453
2019;Sep;Australia;KFC_AU_02;171524;3919;10845
2020;Nov;UK;KFC_UK_01;90042;2453;18905
2021;Mar;USA;KFC_US_03;287842;5784;27562
2023;Dec;USA;KFC_US_03;188743;5888;17991
2024;Jul;UK;KFC_UK_02;172771;4424;9083
2021;Oct;Canada;KFC_CA_02;116357;3588;19481
2023;Mar;Canada;KFC_CA_02;170772;3634;14510
2018;Mar;USA;KFC_US_01;130494;4669;13769
2018;Nov;Canada;KFC_CA_02;263452;5548;24888
2022;Mar;Canada;KFC_CA_01;134760;2659;23082
2022;Apr;USA;KFC_US_03;114286;2929;14700
2021;Mar;USA;KFC_US_02;195347;5198;13417
2022;Aug;USA;KFC_US_01;81646;1628;27922
2019;Oct;India;KFC_IN_04;217407;5142;16869
2020;Feb;India;KFC_IN_04;77979;1682;17427
2018;Sep;India;KFC_IN_03;187476;5657;29080
2020;May;UK;KFC_UK_01;96118;2892;9358
2019;Nov;USA;KFC_US_01;178762;4222;5660
2018;Apr;UK;KFC_UK_02;109678;3375;21928
2023;Apr;USA;KFC_US_03;90782;2663;13555
2019;Apr;Australia;KFC_AU_02;120747;3643;29672
2023;Dec;UK;KFC_UK_01;54660;1700;7060
2022;May;Canada;KFC_CA_01;185213;4313;8380
2024;Apr;USA;KFC_US_01;138593;3756;29669
2020;Jan;Canada;KFC_CA_02;63891;1807;6067
2022;Aug;India;KFC_IN_04;222926;5215;29971
2020;Aug;UK;KFC_UK_02;257698;5718;23260
2023;Nov;Canada;KFC_CA_01;66558;1509;21288
2021;Jan;Australia;KFC_AU_01;117467;3161;16315
2022;Feb;Australia;KFC_AU_01;88413;2468;21777
2020;Mar;Canada;KFC_CA_02;114655;2267;23975
2023;Jul;USA;KFC_US_01;166770;3461;17947
2022;Oct;USA;KFC_US_02;246816;5750;5316
2023;Feb;USA;KFC_US_02;202109;4130;16259
2022;May;UK;KFC_UK_01;99702;3212;16190
2018;Mar;USA;KFC_US_03;58648;2015;6258
2019;Oct;USA;KFC_US_03;104490;2545;7780
2020;May;Canada;KFC_CA_01;152641;3769;9419
2021;Dec;India;KFC_IN_03;131937;2466;20967
2023;May;UK;KFC_UK_01;169219;5924;21119
2024;Jun;USA;KFC_US_03;74307;1614;11361
2021;Sep;UK;KFC_UK_02;186324;3636;29976
2022;Nov;UK;KFC_UK_02;121416;2675;19766
2020;Apr;Australia;KFC_AU_02;166665;5738;23215
2019;Jul;Australia;KFC_AU_02;72398;1614;27206
2024;Dec;India;KFC_IN_03;68463;2269;11738
2024;Feb;USA;KFC_US_02;162078;5038;21014
2024;Dec;Canada;KFC_CA_02;94458;2718;10200
2023;Mar;India;KFC_IN_03;227840;4877;8375
2019;Jul;Australia;KFC_AU_01;262909;5661;13825
2018;Aug;UK;KFC_UK_02;129272;4163;16871
2024;Oct;Australia;KFC_AU_02;262482;5914;14094
2023;Sep;Australia;KFC_AU_01;71322;1783;8917
2018;May;UK;KFC_UK_02;130754;4473;9983
2024;Mar;Canada;KFC_CA_02;129960;3639;24429
2018;Jan;USA;KFC_US_02;144904;3872;5512
2024;Apr;UK;KFC_UK_02;86795;2899;5623
2021;Aug;India;KFC_IN_01;125723;2295;24743
2021;Nov;USA;KFC_US_02;237640;5580;8860
2018;Jul;Canada;KFC_CA_01;175698;3816;26874
2018;Oct;India;KFC_IN_03;166278;3109;29482
2024;Apr;Canada;KFC_CA_01;150152;3187;25859
2019;Jul;Canada;KFC_CA_02;135403;2924;15519
2019;Sep;India;KFC_IN_02;97101;2940;17721
2024;Apr;UK;KFC_UK_02;99413;1688;25141
2019;Nov;UK;KFC_UK_02;99573;2679;5808
2019;Aug;UK;KFC_UK_01;158548;5210;12668
2019;Apr;India;KFC_IN_04;105391;1961;28912
2019;May;Australia;KFC_AU_02;75633;2009;25408
2019;May;UK;KFC_UK_02;166564;3430;12214
2023;May;Canada;KFC_CA_01;65687;1607;25512
2021;Sep;Australia;KFC_AU_02;215963;5811;12578
2023;Feb;UK;KFC_UK_01;173580;4703;27787
2021;Apr;India;KFC_IN_04;197500;4408;25588
2024;Aug;Canada;KFC_CA_01;134864;3061;24668
2020;Sep;USA;KFC_US_02;183184;5945;28614
2019;Aug;Canada;KFC_CA_02;193119;5557;26409
2022;Sep;Australia;KFC_AU_01;124429;2902;25761
2019;Sep;USA;KFC_US_01;95552;2064;21248
2023;May;Australia;KFC_AU_02;175680;3900;27480
2023;Sep;India;KFC_IN_02;136421;4136;20613
2019;Jan;Canada;KFC_CA_02;60394;1982;8862
2019;Mar;UK;KFC_UK_01;153646;3359;26004
2018;Mar;Canada;KFC_CA_02;141548;4066;7370
2019;Jun;Australia;KFC_AU_01;210507;4449;14751
2023;Jul;USA;KFC_US_02;142021;4281;26434
2019;Nov;UK;KFC_UK_02;119786;3521;14156
2024;Jul;Canada;KFC_CA_02;133552;3492;21808
2022;Feb;India;KFC_IN_03;141994;2825;28994
2018;Nov;India;KFC_IN_03;80846;2539;9754
2019;Aug;Australia;KFC_AU_01;286421;5993;28722
2022;Sep;India;KFC_IN_02;93332;2325;23582
2023;Oct;Canada;KFC_CA_02;53784;1616;5304
2018;Mar;Canada;KFC_CA_02;209362;4115;24187
2022;Aug;Australia;KFC_AU_01;159523;3260;29123
2024;Aug;Australia;KFC_AU_01;160439;3565;17839
2018;Jun;Australia;KFC_AU_01;192404;5155;6824
2024;Apr;India;KFC_IN_02;165560;5147;6003
2018;Feb;USA;KFC_US_02;98546;2296;27370
2024;Mar;India;KFC_IN_01;115633;3123;12574
2023;Jun;Australia;KFC_AU_02;115632;2504;12968
2018;May;India;KFC_IN_03;176178;4674;7914
2023;Jun;USA;KFC_US_02;145150;3505;29485
2019;Jul;USA;KFC_US_03;113892;3339;23739
2022;Sep;Australia;KFC_AU_02;171166;4272;25918
2024;Jul;UK;KFC_UK_02;119180;3573;15563
2021;Feb;USA;KFC_US_03;216785;4898;6171
2024;Mar;UK;KFC_UK_02;95209;3296;6217
2021;Feb;USA;KFC_US_02;191594;4083;7859
2022;Oct;India;KFC_IN_02;286079;5707;29264
2019;Feb;Australia;KFC_AU_01;109967;3064;8855
2024;Nov;India;KFC_IN_04;92664;1783;15995
2020;Sep;Australia;KFC_AU_02;184449;4834;29761
2024;Jan;Canada;KFC_CA_02;122022;3565;7942
2018;Sep;Australia;KFC_AU_02;113542;2218;15950
2021;Dec;USA;KFC_US_03;221869;5003;26752
2021;Mar;India;KFC_IN_03;170481;4987;20871
2018;Jun;UK;KFC_UK_02;218167;5063;10584
2023;Jun;Australia;KFC_AU_02;164815;4679;19766
2019;Oct;UK;KFC_UK_02;87730;2600;17530
2024;May;UK;KFC_UK_02;156807;3846;22197
2023;Jul;India;KFC_IN_04;131930;3959;17119
2023;Oct;Canada;KFC_CA_01;139773;3499;27805
2022;Aug;USA;KFC_US_01;234654;5186;22028
2022;Jun;India;KFC_IN_04;181792;4720;16592
2020;Jul;USA;KFC_US_01;144030;4985;19405
2022;Nov;India;KFC_IN_01;155486;4395;14846
2018;Dec;UK;KFC_UK_01;225390;5353;11270
2022;Feb;Canada;KFC_CA_01;95512;1802;19828
2023;Dec;UK;KFC_UK_02;103814;2443;28081
2021;Sep;Canada;KFC_CA_01;88408;2153;6594
2020;Dec;India;KFC_IN_02;152186;3533;17932
2022;Feb;UK;KFC_UK_02;212261;4198;23351
2020;Apr;India;KFC_IN_02;173842;5733;7585
2022;Jun;Australia;KFC_AU_01;182770;4262;16552
2022;Jun;USA;KFC_US_02;168768;4056;26808
2020;Jun;Australia;KFC_AU_02;71522;1679;7720
2020;Oct;USA;KFC_US_03;137258;3112;15890
2021;Jan;UK;KFC_UK_02;195251;4889;14358
2023;Jun;India;KFC_IN_03;117269;3564;24605
2022;Nov;UK;KFC_UK_01;102521;2387;21363
2022;Oct;India;KFC_IN_02;90707;2479;23774
2022;Aug;India;KFC_IN_04;189750;5523;29583
2018;Jan;Canada;KFC_CA_02;155046;4004;26918
2018;Nov;Canada;KFC_CA_01;208222;4193;23730
2018;Nov;Australia;KFC_AU_01;174030;3923;5341
2021;Nov;India;KFC_IN_04;145605;3870;17895
2021;Oct;USA;KFC_US_02;126740;3338;19924
2019;Jul;Canada;KFC_CA_01;129410;2991;15752
2020;Oct;Australia;KFC_AU_01;83044;2332;22412
2019;Apr;UK;KFC_UK_01;106417;2678;15365
2024;Jun;USA;KFC_US_01;75305;1540;24485
2023;Jan;India;KFC_IN_03;73815;2268;8043
2024;Nov;UK;KFC_UK_02;222018;5883;10230
2022;Feb;USA;KFC_US_02;132608;4769;8614
2020;Dec;Australia;KFC_AU_02;201542;5257;12290
2024;Mar;USA;KFC_US_03;178027;3797;10959
2018;Jun;UK;KFC_UK_02;198881;5156;18421
2024;Dec;USA;KFC_US_02;97845;1887;12930
2020;May;Australia;KFC_AU_02;170325;3993;18591
2024;Aug;Canada;KFC_CA_02;139329;2657;25078
2021;Mar;Australia;KFC_AU_02;96327;2517;28368
2018;Dec;India;KFC_IN_04;251132;5837;17652
2022;Mar;Australia;KFC_AU_01;180593;5641;28286
2023;Jul;India;KFC_IN_04;223399;4524;28867
2020;Aug;USA;KFC_US_03;254091;5411;16007
2020;Mar;UK;KFC_UK_02;158406;4322;24424
2021;Nov;Australia;KFC_AU_02;85261;1523;21295
2023;Nov;Canada;KFC_CA_02;121964;4520;8964
2018;Jan;India;KFC_IN_03;97687;2777;14377
2019;Sep;UK;KFC_UK_02;138716;3394;19926
2019;May;India;KFC_IN_01;170481;4001;22444
2024;Feb;USA;KFC_US_03;220539;4501;26996
2020;Jan;India;KFC_IN_02;133848;3435;13623
2021;Jan;Canada;KFC_CA_01;140570;3354;13118
2021;Oct;India;KFC_IN_01;141885;3211;10234
2021;Mar;USA;KFC_US_01;101013;2923;16246
2018;Nov;Australia;KFC_AU_02;79773;1790;13543
2024;Oct;Canada;KFC_CA_01;159045;3295;10770
2021;Jun;Canada;KFC_CA_01;134664;3702;27306
2018;Sep;Canada;KFC_CA_01;160612;5404;20108
2022;May;Canada;KFC_CA_01;222637;5705;11552
2023;May;Australia;KFC_AU_02;171501;3930;26091
2019;Feb;Australia;KFC_AU_01;258690;5521;10245
2018;Jun;UK;KFC_UK_01;186167;4410;5357
2021;Aug;India;KFC_IN_02;92898;2079;28449
2022;May;UK;KFC_UK_01;230521;5502;15943
2022;Jan;India;KFC_IN_02;71154;1915;9874
2018;Aug;Canada;KFC_CA_02;247289;5745;23234
2020;Nov;Canada;KFC_CA_02;169319;4336;26231
2024;Oct;Canada;KFC_CA_01;114635;3399;29660
2018;May;UK;KFC_UK_02;245632;5580;11272
2022;Feb;UK;KFC_UK_02;193414;4944;5542
2022;Jun;Canada;KFC_CA_02;179485;4614;13381
2019;Jul;Canada;KFC_CA_02;149295;3447;7968
2018;May;UK;KFC_UK_02;217444;5591;21759
2019;Mar;USA;KFC_US_01;81561;2223;25986
2022;Oct;UK;KFC_UK_02;166621;4514;8631
2021;Oct;Canada;KFC_CA_01;135644;4284;11408
2024;Jun;Australia;KFC_AU_02;198601;5726;26821
2018;Jun;UK;KFC_UK_02;83981;2001;19949
2024;Apr;Australia;KFC_AU_01;169898;4092;18494
2022;Dec;Canada;KFC_CA_02;260849;5645;18114
2020;Oct;USA;KFC_US_01;149935;3921;24463
2023;May;USA;KFC_US_03;80696;1764;24248
2021;Feb;Australia;KFC_AU_02;118798;3772;20726
2023;Feb;Canada;KFC_CA_01;125501;4199;12128
2024;Sep;India;KFC_IN_01;217748;5405;28573
2023;Aug;USA;KFC_US_02;148484;4943;10080
2021;Jul;USA;KFC_US_02;60524;1724;8804
2019;Dec;UK;KFC_UK_01;199954;4375;16204
2020;Aug;UK;KFC_UK_01;127308;2422;28006
2023;Dec;UK;KFC_UK_02;88618;2050;23018
2023;Feb;UK;KFC_UK_01;183871;5850;20071
2021;Jan;India;KFC_IN_04;56530;1623;14332
2021;Feb;UK;KFC_UK_02;82740;2233;15750
2023;Feb;Australia;KFC_AU_02;166861;5580;5041
2024;Aug;USA;KFC_US_03;152267;3090;25577
2020;Nov;UK;KFC_UK_01;114873;2109;19968
2023;Jan;Canada;KFC_CA_02;100256;2995;10406
2024;Jul;USA;KFC_US_01;184866;5215;28416
2019;Apr;UK;KFC_UK_02;176464;3906;20224
2023;Dec;Australia;KFC_AU_02;137281;4138;13141
2023;Mar;USA;KFC_US_02;71403;1691;8836
2022;Oct;Canada;KFC_CA_01;191537;5111;27985
2020;Sep;Australia;KFC_AU_02;167459;3878;20095
2019;Nov;UK;KFC_UK_01;98493;2166;22683
2022;May;India;KFC_IN_01;136125;3180;8925
2020;Nov;Australia;KFC_AU_02;192131;5927;26175
2020;Oct;USA;KFC_US_01;220698;4434;21168
2023;May;Australia;KFC_AU_02;101181;3499;10207
2019;Apr;India;KFC_IN_03;215659;5240;27019
2022;Nov;USA;KFC_US_02;79342;2402;19292
2024;May;UK;KFC_UK_01;105786;2664;12546
2022;Nov;Australia;KFC_AU_02;126827;3435;27212
2024;Apr;USA;KFC_US_02;118924;2900;11624
2019;Aug;Australia;KFC_AU_01;112754;3547;9891
2018;Mar;USA;KFC_US_02;182568;4678;28194
2018;Aug;Australia;KFC_AU_02;152723;3596;23267
2020;Apr;UK;KFC_UK_01;79598;2067;23789
2020;Jun;Canada;KFC_CA_02;128941;3026;20005
2020;Jan;USA;KFC_US_03;175880;3554;15950
2020;Sep;Australia;KFC_AU_01;155705;4209;29435
2022;May;Australia;KFC_AU_01;210522;5554;16132
2022;Apr;India;KFC_IN_04;148839;3968;29799
2021;Aug;Australia;KFC_AU_02;140486;2584;24206
